valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
218000.0;2.238498;48.925608;67;681;67;45.16;1.0;0
335402.0;2.252587;48.932724;1;5;1;68.0;3.0;1
237000.0;2.243444;48.915559;43;480;43;47.33;2.0;0
224340.0;2.246255;48.926389;65;676;65;58.91;5.0;0
269000.0;2.233084;48.910817;71;699;71;48.22;2.0;0
345745.0;2.233542;48.91039;71;697;71;61.52;3.0;0
212000.0;2.246603;48.923661;57;635;57;48.33;3.0;0
182000.0;2.257076;48.93355;7;90;7;38.0;2.0;1
267000.0;2.252545;48.926706;3;20;3;59.33;3.0;0
174200.0;2.232628;48.915403;51;572;51;26.0;1.0;1
544400.0;2.253285;48.916375;30;332;30;82.17;4.0;0
235000.0;2.266104;48.922006;21;194;21;49.68;2.0;0
164000.0;2.260678;48.922666;24;242;24;32.02;2.0;0
300000.0;2.232262;48.911353;71;700;71;60.0;3.0;0
161320.0;2.246255;48.926389;65;676;65;38.05;2.0;0
243400.0;2.266743;48.926091;16;137;16;49.01;2.0;0
354000.0;2.257076;48.93355;7;90;7;72.0;3.0;1
235000.0;2.240929;48.927356;64;672;64;63.11;3.0;0
227500.0;2.262097;48.919578;24;246;24;51.25;3.0;0
339000.0;2.252296;48.916431;35;423;35;62.01;3.0;0
343047.0;2.240846;48.92378;58;642;58;80.3;4.0;1
179000.0;2.236012;48.91117;50;565;50;33.8;2.0;0
291262.0;2.24232;48.922585;57;639;57;61.06;3.0;0
224700.0;2.262256;48.926799;19;166;19;50.7;2.0;0
267740.0;2.249768;48.914711;34;408;34;49.45;3.0;0
251600.0;2.257459;48.91563;33;378;33;56.05;2.0;0
82000.0;2.237304;48.910549;48;517;48;18.72;2.0;0
362843.0;2.257076;48.93355;7;90;7;65.0;3.0;1
280000.0;2.238924;48.912783;48;530;48;60.34;2.0;0
155000.0;2.249474;48.925529;2;6;2;29.43;1.0;0
510000.0;2.272318;48.926921;15;124;15;89.99;4.0;0
352150.0;2.237877;48.916895;46;492;46;58.21;3.0;0
252000.0;2.241498;48.924817;58;644;58;42.0;2.0;1
150000.0;2.253027;48.924138;4;55;4;39.63;3.0;0
213700.0;2.252068;48.928295;3;22;3;47.0;1.0;1
448380.0;2.232262;48.911353;71;700;71;84.6;4.0;0
245145.0;2.253583;48.92694;5;60;5;43.23;2.0;0
429000.0;2.264668;48.921218;23;230;23;69.92;4.0;0
473000.0;2.253193;48.919771;29;320;29;85.84;4.0;0
131628.0;2.266021;48.922241;21;198;21;22.75;1.0;0
256000.0;2.241498;48.924817;58;644;58;43.0;2.0;1
325000.0;2.231436;48.914775;51;580;51;65.0;3.0;0
160000.0;2.246255;48.926389;65;676;65;32.98;2.0;0
292730.0;2.246089;48.912433;41;459;41;61.23;2.0;0
327444.0;2.241498;48.924817;58;644;58;66.0;3.0;1
359000.0;2.254414;48.932964;0;1;0;61.0;3.0;1
205000.0;2.254414;48.932964;0;1;0;35.0;1.0;1
262000.0;2.241498;48.924817;58;644;58;61.0;2.0;1
355000.0;2.252545;48.926706;3;20;3;73.34;3.0;0
361338.0;2.224321;48.91606;68;693;68;90.0;4.0;1
405000.0;2.224321;48.91606;68;693;68;87.5;4.0;1
329000.0;2.231823;48.91578;52;582;52;63.0;3.0;1
308500.0;2.259628;48.92539;19;169;19;65.0;3.0;0
380679.0;2.254244;48.932511;1;3;1;83.6;4.0;1
357000.0;2.254244;48.932511;1;3;1;61.5;3.0;1
261400.0;2.233543;48.911682;50;570;50;53.82;2.0;0
261825.0;2.241498;48.924817;58;644;58;41.0;2.0;1
440287.0;2.252068;48.928295;3;22;3;107.0;5.0;1
444000.0;2.233155;48.91434;51;575;51;89.4;4.0;1
201900.0;2.250827;48.920931;27;291;27;37.99;2.0;0
175000.0;2.271327;48.932649;12;112;12;61.72;3.0;0
223000.0;2.237206;48.909276;49;533;49;39.19;2.0;0
347000.0;2.257076;48.93355;7;90;7;66.0;2.0;1
150000.0;2.257142;48.91448;33;385;33;29.98;1.0;0
349050.0;2.241498;48.924817;58;644;58;65.0;3.0;1
348057.0;2.231823;48.91578;52;582;52;61.0;3.0;1
181000.0;2.235033;48.91047;49;531;49;25.0;1.0;0
510000.0;2.245438;48.926059;65;678;65;99.8;5.0;0
195000.0;2.233676;48.914987;51;577;51;43.71;2.0;0
245000.0;2.252097;48.922658;26;281;26;54.5;2.0;0
214900.0;2.255139;48.917996;29;317;29;35.6;3.0;0
397383.0;2.254244;48.932511;1;3;1;81.1;4.0;1
396169.0;2.26495;48.926371;20;180;20;85.31;4.0;0
