valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
218000.0;2.238498;48.925608;92025000BX;92025000BX0193;4628;45.16;1.0;0
335402.0;2.252587;48.932724;920250000B;920250000B0252;0010;68.0;3.0;1
237000.0;2.243444;48.915559;92025000AT;92025000AT0227;5220;47.33;2.0;0
224340.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;58.91;5.0;0
269000.0;2.233084;48.910817;92025000CF;92025000CF0207;0135;48.22;2.0;0
345745.0;2.233542;48.91039;92025000CF;92025000CF0198;1564;61.52;3.0;0
212000.0;2.246603;48.923661;92025000BK;92025000BK0158;0065;48.33;3.0;0
182000.0;2.257076;48.93355;920250000H;920250000H0476;3576;38.0;2.0;1
267000.0;2.252545;48.926706;920250000D;920250000D0079;9614;59.33;3.0;0
174200.0;2.232628;48.915403;92025000BE;92025000BE0041;1634;26.0;1.0;1
544400.0;2.253285;48.916375;92025000AG;92025000AG0091;4442;82.17;4.0;0
235000.0;2.266104;48.922006;920250000V;920250000V0235;4480;49.68;2.0;0
164000.0;2.260678;48.922666;920250000Z;920250000Z0136;9653;32.02;2.0;0
300000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;60.0;3.0;0
161320.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;38.05;2.0;0
243400.0;2.266743;48.926091;920250000Q;920250000Q0200;4120;49.01;2.0;0
354000.0;2.257076;48.93355;920250000H;920250000H0476;3576;72.0;3.0;1
235000.0;2.240929;48.927356;92025000BR;92025000BR0272;8152;63.11;3.0;0
227500.0;2.262097;48.919578;920250000Z;920250000Z0185;6158;51.25;3.0;0
339000.0;2.252296;48.916431;92025000AL;92025000AL0279;4442;62.01;3.0;0
343047.0;2.240846;48.92378;92025000BL;92025000BL0012;3126;80.3;4.0;1
179000.0;2.236012;48.91117;92025000BD;92025000BD0220;3170;33.8;2.0;0
291262.0;2.24232;48.922585;92025000BK;92025000BK0237;8825;61.06;3.0;0
224700.0;2.262256;48.926799;920250000T;920250000T0264;4275;50.7;2.0;0
267740.0;2.249768;48.914711;92025000AK;92025000AK0013;9620;49.45;3.0;0
251600.0;2.257459;48.91563;92025000AJ;92025000AJ0113;9611;56.05;2.0;0
82000.0;2.237304;48.910549;92025000AZ;92025000AZ0087;1634;18.72;2.0;0
362843.0;2.257076;48.93355;920250000H;920250000H0476;3576;65.0;3.0;1
280000.0;2.238924;48.912783;92025000AZ;92025000AZ0326;3170;60.34;2.0;0
155000.0;2.249474;48.925529;920250000C;920250000C0038;8120;29.43;1.0;0
510000.0;2.272318;48.926921;920250000P;920250000P0119;5234;89.99;4.0;0
352150.0;2.237877;48.916895;92025000AX;92025000AX0094;6265;58.21;3.0;0
252000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;42.0;2.0;1
150000.0;2.253027;48.924138;920250000E;920250000E0227;8825;39.63;3.0;0
213700.0;2.252068;48.928295;920250000D;920250000D0086;0145;47.0;1.0;1
448380.0;2.232262;48.911353;92025000CF;92025000CF0225;1564;84.6;4.0;0
245145.0;2.253583;48.92694;920250000F;920250000F0008;9614;43.23;2.0;0
429000.0;2.264668;48.921218;920250000Y;920250000Y0292;9653;69.92;4.0;0
473000.0;2.253193;48.919771;92025000AF;92025000AF0182;4110;85.84;4.0;0
131628.0;2.266021;48.922241;920250000V;920250000V0305;4480;22.75;1.0;0
256000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;43.0;2.0;1
325000.0;2.231436;48.914775;92025000BE;92025000BE0388;2573;65.0;3.0;0
160000.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;32.98;2.0;0
292730.0;2.246089;48.912433;92025000AR;92025000AR0098;6278;61.23;2.0;0
327444.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;66.0;3.0;1
359000.0;2.254414;48.932964;920250000A;920250000A0118;0010;61.0;3.0;1
205000.0;2.254414;48.932964;920250000A;920250000A0118;0010;35.0;1.0;1
262000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;61.0;2.0;1
355000.0;2.252545;48.926706;920250000D;920250000D0079;9614;73.34;3.0;0
361338.0;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;90.0;4.0;1
405000.0;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;87.5;4.0;1
329000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;63.0;3.0;1
308500.0;2.259628;48.92539;920250000T;920250000T0307;6215;65.0;3.0;0
380679.0;2.254244;48.932511;920250000B;920250000B0249;0010;83.6;4.0;1
357000.0;2.254244;48.932511;920250000B;920250000B0249;0010;61.5;3.0;1
261400.0;2.233543;48.911682;92025000BD;92025000BD0330;1690;53.82;2.0;0
261825.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;41.0;2.0;1
440287.0;2.252068;48.928295;920250000D;920250000D0086;0145;107.0;5.0;1
444000.0;2.233155;48.91434;92025000BE;92025000BE0149;4270;89.4;4.0;1
201900.0;2.250827;48.920931;92025000AD;92025000AD0022;4416;37.99;2.0;0
175000.0;2.271327;48.932649;920250000M;920250000M0584;4876;61.72;3.0;0
223000.0;2.237206;48.909276;92025000BC;92025000BC0061;7212;39.19;2.0;0
347000.0;2.257076;48.93355;920250000H;920250000H0476;3576;66.0;2.0;1
150000.0;2.257142;48.91448;92025000AJ;92025000AJ0143;3545;29.98;1.0;0
349050.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;65.0;3.0;1
348057.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;61.0;3.0;1
181000.0;2.235033;48.91047;92025000BC;92025000BC0001;1634;25.0;1.0;0
510000.0;2.245438;48.926059;92025000BS;92025000BS0078;9970;99.8;5.0;0
195000.0;2.233676;48.914987;92025000BE;92025000BE0170;1634;43.71;2.0;0
245000.0;2.252097;48.922658;92025000AC;92025000AC0330;4172;54.5;2.0;0
214900.0;2.255139;48.917996;92025000AF;92025000AF0125;7170;35.6;3.0;0
397383.0;2.254244;48.932511;920250000B;920250000B0249;0010;81.1;4.0;1
396169.0;2.26495;48.926371;920250000U;920250000U0231;1512;85.31;4.0;0
327000.0;2.269419;48.932415;920250000M;920250000M0887;4876;80.0;4.0;1
226350.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;33.0;1.0;1
250100.0;2.264816;48.920899;920250000Y;920250000Y0245;9653;53.21;2.0;0
217500.0;2.255816;48.930136;920250000H;920250000H0026;0046;48.15;3.0;0
225600.0;2.265536;48.928985;920250000R;920250000R0378;0650;61.53;3.0;0
305000.0;2.246296;48.927685;92025000BS;92025000BS0073;7165;72.94;4.0;0
235840.0;2.240829;48.925084;92025000BR;92025000BR0210;9970;67.45;4.0;0
385000.0;2.241258;48.912784;92025000AS;92025000AS0208;7110;65.01;3.0;0
200000.0;2.253366;48.927493;920250000D;920250000D0048;0050;36.56;2.0;0
211000.0;2.267274;48.923524;920250000V;920250000V0147;9145;37.45;3.0;0
147400.0;2.253426;48.928191;920250000D;920250000D0068;7220;32.01;2.0;0
155000.0;2.251743;48.920956;92025000AD;92025000AD0052;0750;28.25;2.0;0
272000.0;2.264779;48.932588;920250000K;920250000K0307;4745;56.0;3.0;1
224649.0;2.259411;48.921263;920250000Z;920250000Z0061;6158;34.06;2.0;0
210000.0;2.252364;48.917971;92025000AL;92025000AL0160;4442;32.1;2.0;0
212000.0;2.269419;48.932415;920250000M;920250000M0887;4876;45.0;2.0;1
275500.0;2.264754;48.924076;920250000X;920250000X0266;2505;63.0;3.0;0
294000.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;57.01;3.0;0
295000.0;2.255355;48.92065;92025000AE;92025000AE0215;1491;52.28;3.0;0
150000.0;2.252309;48.913842;92025000AK;92025000AK0092;4660;29.88;2.0;0
429500.0;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;68.0;3.0;1
158000.0;2.232656;48.922969;92025000BX;92025000BX0218;1572;40.0;2.0;1
398263.0;2.254244;48.932511;920250000B;920250000B0249;0010;79.6;4.0;1
477199.0;2.241874;48.926181;92025000BR;92025000BR0308;5216;101.0;5.0;0
364000.0;2.254244;48.932511;920250000B;920250000B0249;0010;62.2;2.0;1
430000.0;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;61.65;3.0;0
293000.0;2.25553;48.922533;92025000AB;92025000AB0331;0765;65.06;4.0;0
139000.0;2.270968;48.927711;920250000P;920250000P0127;8567;30.4;1.0;0
186000.0;2.243315;48.911673;92025000AR;92025000AR0072;9680;42.77;2.0;0
219500.0;2.258727;48.93356;920250000H;920250000H0230;0130;57.07;3.0;0
59000.0;2.240597;48.910363;92025000BC;92025000BC0133;7212;10.66;1.0;0
532500.0;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;84.0;4.0;1
247925.0;2.271349;48.927369;920250000P;920250000P0208;3153;44.0;2.0;1
175000.0;2.259659;48.924277;920250000T;920250000T0106;6215;31.25;2.0;0
135000.0;2.252437;48.928303;920250000D;920250000D0085;0145;45.21;2.0;0
270000.0;2.240929;48.927356;92025000BR;92025000BR0272;8152;74.39;4.0;0
210000.0;2.246089;48.912433;92025000AR;92025000AR0098;6278;53.04;2.0;0
301000.0;2.255366;48.929762;920250000G;920250000G0224;9614;65.0;3.0;1
232000.0;2.255366;48.929762;920250000G;920250000G0224;9614;29.0;1.0;1
455000.0;2.253861;48.927309;920250000F;920250000F0014;4138;96.0;4.0;1
293334.0;2.232628;48.915403;92025000BE;92025000BE0041;1634;65.0;3.0;1
200000.0;2.260147;48.933013;920250000H;920250000H0298;0159;64.65;4.0;0
209000.0;2.251287;48.917072;92025000AL;92025000AL0188;9658;45.28;2.0;0
245250.0;2.241772;48.911085;92025000AR;92025000AR0066;1646;55.05;3.0;0
125000.0;2.231083;48.915453;92025000BF;92025000BF0052;4115;31.3;2.0;0
165000.0;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;36.64;2.0;0
188000.0;2.255184;48.914501;92025000AJ;92025000AJ0183;2539;29.52;2.0;0
356050.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;77.48;4.0;0
206000.0;2.260147;48.933013;920250000H;920250000H0298;0159;65.4;4.0;0
226450.0;2.241049;48.913884;92025000AS;92025000AS0059;3170;37.6;3.0;0
300000.0;2.23829;48.92626;92025000BX;92025000BX0207;4628;79.44;4.0;0
316000.0;2.257076;48.93355;920250000H;920250000H0476;3576;62.0;3.0;1
423000.0;2.257076;48.93355;920250000H;920250000H0476;3576;86.0;4.0;1
357156.0;2.256143;48.933553;920250000H;920250000H0481;3576;63.0;3.0;1
430000.0;2.256616;48.920706;92025000AE;92025000AE0204;0005;82.72;4.0;0
219000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;45.0;2.0;0
440000.0;2.254803;48.923235;92025000AC;92025000AC0408;6870;82.0;4.0;0
200000.0;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;28.0;2.0;0
245000.0;2.252379;48.916973;92025000AL;92025000AL0172;4442;43.0;2.0;0
336400.0;2.264986;48.923024;920250000X;920250000X0267;6125;71.0;3.0;0
236000.0;2.23866;48.910519;92025000BC;92025000BC0167;0126;38.0;3.0;0
289000.0;2.238479;48.922782;92025000BM;92025000BM0292;7278;78.0;5.0;0
187000.0;2.258727;48.93356;920250000H;920250000H0230;0130;57.0;3.0;0
152000.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;43.0;3.0;0
250000.0;2.253079;48.920223;92025000AF;92025000AF0176;4442;46.0;2.0;0
149000.0;2.24239;48.917732;92025000AV;92025000AV0209;3540;24.0;1.0;0
137080.0;2.259411;48.921263;920250000Z;920250000Z0061;6158;26.0;2.0;0
198300.0;2.245438;48.926059;92025000BS;92025000BS0078;9970;29.0;1.0;0
251500.0;2.265536;48.928985;920250000R;920250000R0378;6127;57.0;3.0;0
150000.0;2.251921;48.921641;92025000AD;92025000AD0118;4442;37.0;2.0;0
305000.0;2.250418;48.917911;92025000AL;92025000AL0126;7270;58.0;3.0;0
220000.0;2.233332;48.909801;92025000CG;92025000CG0013;6114;58.0;4.0;0
241770.81;2.271349;48.927369;920250000P;920250000P0208;3153;45.0;2.0;1
229000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;42.0;2.0;1
305158.4;2.241498;48.924817;92025000BL;92025000BL0194;9970;60.0;3.0;1
134500.0;2.259659;48.924277;920250000T;920250000T0106;6215;23.0;1.0;0
364000.0;2.237791;48.909845;92025000BC;92025000BC0074;7212;62.0;3.0;0
265000.0;2.264843;48.923143;920250000X;920250000X0217;6125;44.0;2.0;0
242850.0;2.253839;48.914983;92025000AJ;92025000AJ0266;3545;34.0;2.0;0
349000.0;2.242915;48.925927;92025000BR;92025000BR0290;3200;88.52;4.0;0
195000.0;2.259659;48.924277;920250000T;920250000T0106;6215;37.15;2.0;0
331000.0;2.255366;48.929762;920250000G;920250000G0224;9614;61.0;3.0;1
400000.0;2.253095;48.924618;920250000E;920250000E0196;9614;70.0;4.0;1
227000.0;2.2486;48.915932;92025000AP;92025000AP0418;9620;56.04;1.0;0
215000.0;2.253261;48.916964;92025000AG;92025000AG0299;4442;43.45;2.0;0
260000.0;2.25553;48.922533;92025000AB;92025000AB0331;0765;64.8;3.0;0
466000.0;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;69.0;3.0;1
188500.0;2.238333;48.910359;92025000BC;92025000BC0097;3670;27.57;1.0;0
293500.0;2.24232;48.922585;92025000BK;92025000BK0237;7278;60.63;3.0;0
265000.0;2.25553;48.922533;92025000AB;92025000AB0331;0765;61.17;3.0;0
301600.0;2.268964;48.928466;920250000Q;920250000Q0394;8567;61.86;3.0;0
156500.0;2.252133;48.920423;92025000AM;92025000AM0085;4442;31.39;1.0;0
189000.0;2.267688;48.924792;920250000V;920250000V0187;1604;37.75;2.0;0
190000.0;2.267088;48.933211;920250000L;920250000L0310;4876;63.52;3.0;0
191305.0;2.236011;48.912683;92025000AZ;92025000AZ0066;1634;33.52;2.0;0
200000.0;2.249055;48.924529;92025000BJ;92025000BJ0026;8825;30.38;1.0;0
127000.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;42.39;2.0;0
346600.0;2.257986;48.914937;92025000AI;92025000AI0019;9611;56.12;3.0;0
164000.0;2.232656;48.922969;92025000BX;92025000BX0218;1572;42.0;2.0;1
249000.0;2.255366;48.929762;920250000G;920250000G0224;9614;44.0;2.0;1
227000.0;2.260147;48.933013;920250000H;920250000H0298;0159;75.84;5.0;0
275000.0;2.254992;48.921233;92025000AE;92025000AE0242;3195;64.68;4.0;0
245000.0;2.247647;48.917837;92025000AP;92025000AP0245;0780;56.24;3.0;0
307240.0;2.233117;48.921747;92025000BO;92025000BO0642;7278;67.13;3.0;0
163000.0;2.251743;48.920956;92025000AD;92025000AD0052;0750;27.0;2.0;0
411000.0;2.256143;48.933553;920250000H;920250000H0481;3576;81.0;4.0;1
299147.0;2.255366;48.929762;920250000G;920250000G0224;0046;46.0;2.0;1
351470.0;2.257416;48.914119;92025000AJ;92025000AJ0150;9611;65.0;3.0;0
389000.0;2.257076;48.93355;920250000H;920250000H0476;3576;86.0;4.0;1
321300.0;2.23829;48.92626;92025000BX;92025000BX0207;4628;75.95;4.0;0
355000.0;2.253965;48.914015;92025000AJ;92025000AJ0294;4442;65.39;3.0;0
255200.0;2.267261;48.923457;920250000V;920250000V0146;9145;45.64;3.0;0
215000.0;2.268964;48.928466;920250000Q;920250000Q0394;8567;43.66;2.0;0
256000.0;2.255366;48.929762;920250000G;920250000G0224;9614;45.0;2.0;1
224075.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;30.0;1.0;1
358000.0;2.238479;48.91359;92025000AY;92025000AY0142;6265;57.74;3.0;0
165000.0;2.226255;48.917958;92025000BQ;92025000BQ0293;1666;57.16;3.0;0
346000.0;2.260521;48.923527;920250000X;920250000X0180;9653;77.79;3.0;0
297000.0;2.255366;48.929762;920250000G;920250000G0224;9614;65.0;3.0;1
215000.0;2.266863;48.926011;920250000Q;920250000Q0052;3110;36.17;2.0;0
185000.0;2.247144;48.924855;92025000BJ;92025000BJ0045;3113;41.19;2.0;0
402000.0;2.243251;48.917321;92025000AU;92025000AU0318;3170;68.44;3.0;0
235000.0;2.260147;48.933013;920250000H;920250000H0298;0159;65.48;3.0;0
252075.38;2.232656;48.922969;92025000BX;92025000BX0218;1572;41.0;2.0;1
203625.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;41.0;2.0;1
395625.0;2.225002;48.916161;92025000BZ;92025000BZ0027;1530;107.0;4.0;1
241000.0;2.241788;48.919786;92025000BH;92025000BH0307;4115;54.36;3.0;0
406080.0;2.260664;48.923117;920250000X;920250000X0175;4480;63.02;4.0;0
210000.0;2.253426;48.928191;920250000D;920250000D0068;7220;45.66;3.0;0
356000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;80.0;4.0;1
228700.0;2.255139;48.917996;92025000AF;92025000AF0125;7170;35.54;2.0;0
240615.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;48.0;2.0;0
332850.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;78.42;4.0;0
310000.0;2.231901;48.915059;92025000BE;92025000BE0386;2573;64.01;3.0;0
246675.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;42.0;2.0;1
228150.0;2.235735;48.919656;92025000BN;92025000BN0226;6295;56.65;3.0;0
