prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente
4827.280779450842;2.238498;48.925608;92025000BX;92025000BX0193;4628;0
4932.382352941177;2.252587;48.932724;920250000B;920250000B0252;0010;1
5007.394886963871;2.243444;48.915559;92025000AT;92025000AT0227;5220;0
3808.1819725004248;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
5578.598092077976;2.233084;48.910817;92025000CF;92025000CF0207;0135;0
5620.042262678803;2.233542;48.91039;92025000CF;92025000CF0198;1564;0
4386.509414442376;2.246603;48.923661;92025000BK;92025000BK0158;0065;0
4789.473684210527;2.257076;48.93355;920250000H;920250000H0476;3576;1
4500.252823192314;2.252545;48.926706;920250000D;920250000D0079;9614;0
6700.0;2.232628;48.915403;92025000BE;92025000BE0041;1634;1
6625.2890349275895;2.253285;48.916375;92025000AG;92025000AG0091;4442;0
4730.273752012882;2.266104;48.922006;920250000V;920250000V0235;4480;0
5121.798875702685;2.260678;48.922666;920250000Z;920250000Z0136;9653;0
5000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;0
4239.684625492773;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
4966.333401346664;2.266743;48.926091;920250000Q;920250000Q0200;4120;0
4916.666666666667;2.257076;48.93355;920250000H;920250000H0476;3576;1
3723.6571066392016;2.240929;48.927356;92025000BR;92025000BR0272;8152;0
4439.024390243902;2.262097;48.919578;920250000Z;920250000Z0185;6158;0
5466.860183841316;2.252296;48.916431;92025000AL;92025000AL0279;4442;0
4272.0672478206725;2.240846;48.92378;92025000BL;92025000BL0012;3126;1
5295.857988165681;2.236012;48.91117;92025000BD;92025000BD0220;3170;0
4770.094988535866;2.24232;48.922585;92025000BK;92025000BK0237;8825;0
4431.952662721893;2.262256;48.926799;920250000T;920250000T0264;4275;0
5414.357937310414;2.249768;48.914711;92025000AK;92025000AK0013;9620;0
4488.849241748439;2.257459;48.91563;92025000AJ;92025000AJ0113;9611;0
4380.341880341881;2.237304;48.910549;92025000AZ;92025000AZ0087;1634;0
5582.2;2.257076;48.93355;920250000H;920250000H0476;3576;1
4640.371229698376;2.238924;48.912783;92025000AZ;92025000AZ0326;3170;0
5266.73462453279;2.249474;48.925529;920250000C;920250000C0038;8120;0
5667.296366262918;2.272318;48.926921;920250000P;920250000P0119;5234;0
6049.647826833877;2.237877;48.916895;92025000AX;92025000AX0094;6265;0
6000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
3785.0113550340648;2.253027;48.924138;920250000E;920250000E0227;8825;0
4546.808510638298;2.252068;48.928295;920250000D;920250000D0086;0145;1
5300.0;2.232262;48.911353;92025000CF;92025000CF0225;1564;0
5670.714781401804;2.253583;48.92694;920250000F;920250000F0008;9614;0
6135.58352402746;2.264668;48.921218;920250000Y;920250000Y0292;9653;0
5510.251630941286;2.253193;48.919771;92025000AF;92025000AF0182;4110;0
5785.846153846154;2.266021;48.922241;920250000V;920250000V0305;4480;0
5953.488372093023;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
5000.0;2.231436;48.914775;92025000BE;92025000BE0388;2573;0
4851.425106124924;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
4780.826392291361;2.246089;48.912433;92025000AR;92025000AR0098;6278;0
4961.272727272727;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
5885.245901639344;2.254414;48.932964;920250000A;920250000A0118;0010;1
5857.142857142857;2.254414;48.932964;920250000A;920250000A0118;0010;1
4295.081967213115;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
4840.469048268339;2.252545;48.926706;920250000D;920250000D0079;9614;0
4014.866666666667;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;1
