prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
4827.280779450842;2.238498;48.925608;92025000BX;92025000BX0193;4628;0;T3;1.217337274095387;6;0;1;0;1
4932.382352941177;2.252587;48.932724;920250000B;920250000B0252;10;1;T4;1.1427448468794288;3;0;0;0;0
5007.394886963871;2.243444;48.915559;92025000AT;92025000AT0227;5220;0;T3;1.1172640747290452;6;0;0;0;0
3808.1819725004248;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T3;0.7378413689384381;11;0;2;0;0
5578.598092077976;2.233084;48.910817;92025000CF;92025000CF0207;135;0;T3;2.035422423177509;3;0;3;1;0
5620.042262678803;2.233542;48.91039;92025000CF;92025000CF0198;1564;0;T3;2.040806979061709;5;1;4;1;0
4386.509414442376;2.246603;48.923661;92025000BK;92025000BK0158;65;0;T3;0.5878122929267999;8;0;3;0;0
4789.473684210527;2.257076;48.93355;920250000H;920250000H0476;3576;1;T2;1.2417223626344807;3;1;0;0;0
4500.252823192314;2.252545;48.926706;920250000D;920250000D0079;9614;0;T3;0.4856125881095472;8;0;4;0;0
6700.0;2.232628;48.915403;92025000BE;92025000BE0041;1634;1;T1;1.7835229881705787;6;0;2;1;0
6625.2890349275895;2.253285;48.916375;92025000AG;92025000AG0091;4442;0;T4;0.6886302735638737;4;1;1;0;0
4730.273752012882;2.266104;48.922006;920250000V;920250000V0235;4480;0;T3;0.8570757879490161;4;0;1;0;0
5121.798875702685;2.260678;48.922666;920250000Z;920250000Z0136;9653;0;T2;0.4577969140299208;5;1;5;0;0
5000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;0;T3;2.0453601368126;2;0;2;1;0
4239.684625492773;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T2;0.7378413689384381;11;0;2;0;0
4966.333401346664;2.266743;48.926091;920250000Q;920250000Q0200;4120;0;T3;0.985479144594189;3;0;0;0;0
4916.666666666667;2.257076;48.93355;920250000H;920250000H0476;3576;1;T4;1.2417223626344807;3;1;0;0;0
3723.6571066392016;2.240929;48.927356;92025000BR;92025000BR0272;8152;0;T3;1.1263894683588773;9;0;1;0;1
4439.024390243902;2.262097;48.919578;920250000Z;920250000Z0185;6158;0;T3;0.6499226508278644;3;0;0;0;0
5466.860183841316;2.252296;48.916431;92025000AL;92025000AL0279;4442;0;T3;0.6951338088857437;6;0;1;0;0
4272.0672478206725;2.240846;48.92378;92025000BL;92025000BL0012;3126;1;T4;1.0056664273692248;8;0;1;0;1
5295.857988165681;2.236012;48.91117;92025000BD;92025000BD0220;3170;0;T2;1.8484236581115152;4;1;3;0;0
4770.094988535866;2.24232;48.922585;92025000BK;92025000BK0237;8825;0;T3;0.8878860316329318;6;0;1;0;0
4431.952662721893;2.262256;48.926799;920250000T;920250000T0264;4275;0;T3;0.7448819167666989;2;1;1;0;0
5414.357937310414;2.249768;48.914711;92025000AK;92025000AK0013;9620;0;T3;0.9334338587195452;5;0;0;0;0
4488.849241748439;2.257459;48.91563;92025000AJ;92025000AJ0113;9611;0;T3;0.7977063772374339;4;1;2;0;0
4380.341880341881;2.237304;48.910549;92025000AZ;92025000AZ0087;1634;0;T1;1.830038577326647;5;1;3;0;1
5582.2;2.257076;48.93355;920250000H;920250000H0476;3576;1;T4;1.2417223626344807;3;1;0;0;0
4640.371229698376;2.238924;48.912783;92025000AZ;92025000AZ0326;3170;0;T3;1.5700680634674984;4;1;2;0;0
5266.73462453279;2.249474;48.925529;920250000C;920250000C0038;8120;0;T1;0.4940661112863473;9;0;3;0;0
5667.296366262918;2.272318;48.926921;920250000P;920250000P0119;5234;0;T5;1.3988780131729308;14;0;1;1;0
6049.647826833877;2.237877;48.916895;92025000AX;92025000AX0094;6265;0;T3;1.3653078818429225;5;0;0;0;0
6000.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
3785.0113550340648;2.253027;48.924138;920250000E;920250000E0227;8825;0;T2;0.20735721398574614;6;1;7;0;0
4546.808510638298;2.252068;48.928295;920250000D;920250000D0086;145;1;T3;0.66516633092778;8;0;0;0;0
5300.0;2.232262;48.911353;92025000CF;92025000CF0225;1564;0;T4;2.0453601368126;2;0;2;1;0
5670.714781401804;2.253583;48.92694;920250000F;920250000F0008;9614;0;T2;0.49541380185159356;7;0;5;0;0
6135.58352402746;2.264668;48.921218;920250000Y;920250000Y0292;9653;0;T4;0.7637949762439009;2;0;0;0;0
5510.251630941286;2.253193;48.919771;92025000AF;92025000AF0182;4110;0;T5;0.31905096516538883;5;0;5;0;0
5785.846153846154;2.266021;48.922241;920250000V;920250000V0305;4480;0;T1;0.849647192456604;4;0;1;0;0
5953.488372093023;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
5000.0;2.231436;48.914775;92025000BE;92025000BE0388;2573;0;T4;1.8929643730918173;4;0;2;1;0
4851.425106124924;2.246255;48.926389;92025000BS;92025000BS0012;7165;0;T2;0.7378413689384381;11;0;2;0;0
4780.826392291361;2.246089;48.912433;92025000AR;92025000AR0098;6278;0;T3;1.2777708006653499;5;0;1;0;0
4961.272727272727;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T4;0.9818664230392968;9;0;1;0;1
5885.245901639344;2.254414;48.932964;920250000A;920250000A0118;10;1;T3;1.1613830633687583;3;1;0;0;0
5857.142857142857;2.254414;48.932964;920250000A;920250000A0118;10;1;T2;1.1613830633687583;3;1;0;0;0
4295.081967213115;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T3;0.9818664230392968;9;0;1;0;1
4840.469048268339;2.252545;48.926706;920250000D;920250000D0079;9614;0;T4;0.4856125881095472;8;0;4;0;0
4014.866666666667;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;1;T5;2.3210633134477403;1;0;2;1;2
4628.571428571428;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;1;T5;2.3210633134477403;1;0;2;1;2
5222.222222222223;2.231823;48.91578;92025000BF;92025000BF0056;4115;1;T3;1.818898060255817;5;0;2;1;0
4746.153846153846;2.259628;48.92539;920250000T;920250000T0307;6215;0;T4;0.49662674333798995;3;1;6;0;0
4553.576555023924;2.254244;48.932511;920250000B;920250000B0249;10;1;T4;1.1110928612005428;3;1;0;0;0
5804.878048780488;2.254244;48.932511;920250000B;920250000B0249;10;1;T3;1.1110928612005428;3;1;0;0;0
4856.930509104423;2.233543;48.911682;92025000BD;92025000BD0330;1690;0;T3;1.9487412316733042;2;0;3;1;0
6385.975609756098;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T2;0.9818664230392968;9;0;1;0;1
4114.831775700935;2.252068;48.928295;920250000D;920250000D0086;145;1;T6+;0.66516633092778;8;0;0;0;0
4966.442953020134;2.233155;48.91434;92025000BE;92025000BE0149;4270;1;T5;1.8055897611652898;5;0;2;1;0
5314.556462226901;2.250827;48.920931;92025000AD;92025000AD0022;4416;0;T2;0.31807902857813863;9;0;4;0;0
2835.3856124432923;2.271327;48.932649;920250000M;920250000M0584;4876;0;T3;1.6735650396234518;5;0;2;1;0
5690.227098749681;2.237206;48.909276;92025000BC;92025000BC0061;7212;0;T2;1.940145583701933;6;1;4;0;1
5257.575757575758;2.257076;48.93355;920250000H;920250000H0476;3576;1;T4;1.2417223626344807;3;1;0;0;0
5003.335557038025;2.257142;48.91448;92025000AJ;92025000AJ0143;3545;0;T1;0.9159353675570535;4;1;3;0;0
5370.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;1;T4;0.9818664230392968;9;0;1;0;1
5705.852459016393;2.231823;48.91578;92025000BF;92025000BF0056;4115;1;T3;1.818898060255817;5;0;2;1;0
7240.0;2.235033;48.91047;92025000BC;92025000BC0001;1634;0;T1;1.9540249062973334;7;1;3;0;0
5110.220440881763;2.245438;48.926059;92025000BS;92025000BS0078;9970;0;T5;0.7678219866158623;11;0;1;0;0
4461.221688400824;2.233676;48.914987;92025000BE;92025000BE0170;1634;0;T2;1.7368744735111108;6;0;1;1;0
4495.412844036698;2.252097;48.922658;92025000AC;92025000AC0330;4172;0;T3;0.17202690912268884;10;0;7;0;0
6036.516853932584;2.255139;48.917996;92025000AF;92025000AF0125;7170;0;T2;0.5058212596413881;4;0;1;0;0
4899.913686806412;2.254244;48.932511;920250000B;920250000B0249;10;1;T4;1.1110928612005428;3;1;0;0;0
4643.875278396436;2.26495;48.926371;920250000U;920250000U0231;1512;0;T5;0.8815332882181965;2;1;0;0;0
4087.5;2.269419;48.932415;920250000M;920250000M0887;4876;1;T4;1.5544468610405668;6;0;2;1;0
6859.090909090909;2.231823;48.91578;92025000BF;92025000BF0056;4115;1;T2;1.818898060255817;5;0;2;1;0
4700.244314978388;2.264816;48.920899;920250000Y;920250000Y0245;9653;0;T3;0.7818627314457655;2;0;0;0;0
4517.133956386293;2.255816;48.930136;920250000H;920250000H0026;46;0;T3;0.8529087868389726;3;1;0;0;0
3666.504144319844;2.265536;48.928985;920250000R;920250000R0378;650;0;T3;1.0856070738795647;6;1;1;0;0
4181.51905675898;2.246296;48.927685;92025000BS;92025000BS0073;7165;0;T4;0.8279988032383331;11;0;1;0;0
3496.515937731653;2.240829;48.925084;92025000BR;92025000BR0210;9970;0;T4;1.0370481213618357;9;0;1;0;1
5922.165820642977;2.241258;48.912784;92025000AS;92025000AS0208;7110;0;T4;1.4509268174520793;6;1;0;0;0
5470.459518599562;2.253366;48.927493;920250000D;920250000D0048;50;0;T2;0.5584834911619664;8;0;3;0;0
5634.178905206943;2.267274;48.923524;920250000V;920250000V0147;9145;0;T2;0.9474846786783023;6;0;1;0;0
4604.810996563574;2.253426;48.928191;920250000D;920250000D0068;7220;0;T2;0.634905466537199;7;0;1;0;0
5486.725663716814;2.251743;48.920956;92025000AD;92025000AD0052;750;0;T1;0.2630658188063918;8;0;6;0;0
4857.142857142857;2.264779;48.932588;920250000K;920250000K0307;4745;1;T3;1.3520220626570982;7;1;1;0;0
6595.68408690546;2.259411;48.921263;920250000Z;920250000Z0061;6158;0;T2;0.3905673739689544;4;1;5;0;0
6542.056074766355;2.252364;48.917971;92025000AL;92025000AL0160;4442;0;T2;0.5282414732360007;5;0;0;0;0
4711.111111111111;2.269419;48.932415;920250000M;920250000M0887;4876;1;T3;1.5544468610405668;6;0;2;1;0
4373.015873015873;2.264754;48.924076;920250000X;920250000X0266;2505;0;T3;0.7757391448556101;4;1;1;0;0
5156.990001754079;2.25553;48.922533;92025000AB;92025000AB0331;4462;0;T3;0.08025163923293602;7;1;7;0;0
5642.693190512624;2.255355;48.92065;92025000AE;92025000AE0215;1491;0;T3;0.21868800802083868;7;1;7;0;0
5020.080321285141;2.252309;48.913842;92025000AK;92025000AK0092;4660;0;T1;0.977640500934961;1;1;2;0;0
6316.176470588235;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1;T4;0.8593958618720562;3;1;1;0;0
3950.0;2.232656;48.922969;92025000BX;92025000BX0218;1572;1;T2;1.596857489162965;5;0;1;0;1
5003.304020100503;2.254244;48.932511;920250000B;920250000B0249;10;1;T4;1.1110928612005428;3;1;0;0;0
4724.742574257426;2.241874;48.926181;92025000BR;92025000BR0308;5216;0;T6+;1.0064948137500505;9;0;1;0;1
5852.09003215434;2.254244;48.932511;920250000B;920250000B0249;10;1;T3;1.1110928612005428;3;1;0;0;0
6974.85806974858;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;0;T3;0.8258827543802728;4;1;2;0;0
4503.535198278512;2.25553;48.922533;92025000AB;92025000AB0331;765;0;T4;0.08025163923293602;7;1;7;0;0
4572.368421052632;2.270968;48.927711;920250000P;920250000P0127;8567;0;T2;1.3420242755063596;5;0;1;1;0
4348.842646714987;2.243315;48.911673;92025000AR;92025000AR0072;9680;0;T2;1.4558693765376052;6;1;1;0;1
3846.153846153846;2.258727;48.93356;920250000H;920250000H0230;130;0;T3;1.2673057051645689;5;1;0;0;0
5534.709193245779;2.240597;48.910363;92025000BC;92025000BC0133;7212;0;T1;1.6901787513480393;5;1;4;0;1
6339.285714285715;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1;T4;0.8593958618720562;3;1;1;0;0
5634.659090909091;2.271349;48.927369;920250000P;920250000P0208;3153;1;T2;1.3516706481279912;8;0;1;1;0
